x,y,z, ,vx,vy,vz
0.0473255,0.0493,0.012344, ,0.0884639,0.1,0.0475216
0.0488156,0.051,0.0131775, ,0.087656,0.1,0.0490255
0.0502916,0.0527,0.0140362, ,0.0868225,0.1,0.0505156
0.051753,0.0544,0.0149201, ,0.0859638,0.1,0.0519916
0.0531994,0.0561,0.0158288, ,0.0850799,0.1,0.053453
0.0546303,0.0578,0.0167621, ,0.0841712,0.1,0.0548994
0.0560453,0.0595,0.0177197, ,0.0832379,0.1,0.0563303
0.0574441,0.0612,0.0187014, ,0.0822803,0.1,0.0577453
0.0588262,0.0629,0.0197068, ,0.0812986,0.1,0.0591441
0.0601911,0.0646,0.0207358, ,0.0802932,0.1,0.0605262
0.0615386,0.0663,0.0217879, ,0.0792642,0.1,0.0618911
0.0628682,0.068,0.022863, ,0.0782121,0.1,0.0632386
0.0641796,0.0697,0.0239606, ,0.077137,0.1,0.0645682
0.0654722,0.0714,0.0250806, ,0.0760394,0.1,0.0658796
0.0667459,0.0731,0.0262225, ,0.0749194,0.1,0.0671722
0.0680001,0.0748,0.0273861, ,0.0737775,0.1,0.0684459
0.0692345,0.0765,0.028571, ,0.0726139,0.1,0.0697001
0.0704488,0.0782,0.0297769, ,0.071429,0.1,0.0709345
0.0716426,0.0799,0.0310034, ,0.0702231,0.1,0.0721488
0.0728156,0.0816,0.0322502, ,0.0689966,0.1,0.0733426
0.0739673,0.0833,0.033517, ,0.0677498,0.1,0.0745156
0.0750975,0.085,0.0348033, ,0.066483,0.1,0.0756673
0.0762058,0.0867,0.0361089, ,0.0651967,0.1,0.0767975
0.077292,0.0884,0.0374333, ,0.0638911,0.1,0.0779058
0.0783556,0.0901,0.0387762, ,0.0625667,0.1,0.078992
0.0793964,0.0918,0.0401371, ,0.0612238,0.1,0.0800556
0.0804141,0.0935,0.0415158, ,0.0598629,0.1,0.0810964
0.0814083,0.0952,0.0429117, ,0.0584843,0.1,0.0821141
0.0823788,0.0969,0.0443245, ,0.0570883,0.1,0.0831083
0.0833253,0.0986,0.0457539, ,0.0556755,0.1,0.0840788
0.0842475,0.1003,0.0471993, ,0.0542461,0.1,0.0850253
0.0851451,0.102,0.0486604, ,0.0528007,0.1,0.0859475
0.0860179,0.1037,0.0501368, ,0.0513396,0.1,0.0868451
0.0868656,0.1054,0.051628, ,0.0498632,0.1,0.0877179
0.0876879,0.1071,0.0531336, ,0.048372,0.1,0.0885656
0.0884846,0.1088,0.0546532, ,0.0468664,0.1,0.0893879
0.0892555,0.1105,0.0561863, ,0.0453468,0.1,0.0901846
0.0900004,0.1122,0.0577326, ,0.0438137,0.1,0.0909555
0.0907189,0.1139,0.0592915, ,0.0422674,0.1,0.0917004
0.091411,0.1156,0.0608626, ,0.0407085,0.1,0.0924189
0.0920763,0.1173,0.0624455, ,0.0391374,0.1,0.093111
0.0927147,0.119,0.0640397, ,0.0375545,0.1,0.0937763
0.093326,0.1207,0.0656447, ,0.0359603,0.1,0.0944147
0.0939101,0.1224,0.0672602, ,0.0343553,0.1,0.095026
0.0944667,0.1241,0.0688856, ,0.0327398,0.1,0.0956101
0.0949956,0.1258,0.0705204, ,0.0311145,0.1,0.0961667
0.0954968,0.1275,0.0721642, ,0.0294796,0.1,0.0966956
0.09597,0.1292,0.0738166, ,0.0278358,0.1,0.0971968
0.0964151,0.1309,0.075477, ,0.0261835,0.1,0.09767
0.096832,0.1326,0.0771449, ,0.0245231,0.1,0.0981151
0.0972205,0.1343,0.07882, ,0.0228551,0.1,0.098532
0.0975806,0.136,0.0805016, ,0.0211801,0.1,0.0989205
0.0979121,0.1377,0.0821894, ,0.0194984,0.1,0.0992806
0.0982148,0.1394,0.0838828, ,0.0178106,0.1,0.0996121
0.0984888,0.1411,0.0855813, ,0.0161172,0.1,0.0999148
0.098734,0.1428,0.0872846, ,0.0144187,0.1,0.100189
0.0989501,0.1445,0.0889919, ,0.0127155,0.1,0.100434
0.0991373,0.1462,0.090703, ,0.0110081,0.1,0.10065
0.0992953,0.1479,0.0924172, ,0.00929705,0.1,0.100837
0.0994242,0.1496,0.0941341, ,0.00758282,0.1,0.100995
0.0995239,0.1513,0.0958532, ,0.0058659,0.1,0.101124
0.0995944,0.153,0.0975741, ,0.00414679,0.1,0.101224
0.0996357,0.1547,0.0992961, ,0.00242598,0.1,0.101294
0.0996476,0.1564,0.101019, ,0.000703973,0.1,0.101336
0.0996303,0.1581,0.102742, ,-0.00101873,0.1,0.101348
0.0995837,0.1598,0.104464, ,-0.00274164,0.1,0.10133
0.0995078,0.1615,0.106186, ,-0.00446426,0.1,0.101284
0.0994027,0.1632,0.107907, ,-0.00618608,0.1,0.101208
0.0992682,0.1649,0.109625, ,-0.00790662,0.1,0.101103
0.0991046,0.1666,0.111342, ,-0.00962536,0.1,0.100968
0.0989118,0.1683,0.113056, ,-0.0113418,0.1,0.100805
0.0986899,0.17,0.114766, ,-0.0130555,0.1,0.100612
0.0984388,0.1717,0.116473, ,-0.0147659,0.1,0.10039
0.0981588,0.1734,0.118175, ,-0.0164725,0.1,0.100139
0.0978498,0.1751,0.119873, ,-0.0181749,0.1,0.0998588
0.097512,0.1768,0.121565, ,-0.0198725,0.1,0.0995498
0.0971454,0.1785,0.123251, ,-0.0215648,0.1,0.099212
0.0967501,0.1802,0.124932, ,-0.0232514,0.1,0.0988454
0.0963263,0.1819,0.126605, ,-0.0249318,0.1,0.0984501
0.095874,0.1836,0.128272, ,-0.0266055,0.1,0.0980263
0.0953934,0.1853,0.129931, ,-0.0282719,0.1,0.097574
0.0948845,0.187,0.131581, ,-0.0299307,0.1,0.0970934
0.0943477,0.1887,0.133223, ,-0.0315813,0.1,0.0965845
0.0937829,0.1904,0.134856, ,-0.0332232,0.1,0.0960477
0.0931903,0.1921,0.136479, ,-0.034856,0.1,0.0954829
0.0925702,0.1938,0.138092, ,-0.0364792,0.1,0.0948903
0.0919226,0.1955,0.139695, ,-0.0380923,0.1,0.0942702
0.0912478,0.1972,0.141287, ,-0.0396949,0.1,0.0936226
